created at;id;author;title;description;merge status;state;source branch;target branch;references;should remove source branch;merge when pipeline succeeds;has conflicts;diverged commits count;approvals before merge;allow collaboration;approvals required;reviewers;upvotes;downvotes;user notes count;approvals left;participants;approved by;blocking discussions resolved;updated at;merged by;closed at;closed by
Tue Jul 06 23:46:02 MSK 2021;306;iOS Middle;[IOS.HSEAppX] Refactor LessionViewModel;Настроил нормальную иерархию наследования у LessionView, создал ModernLessionView и ClassicLessionView, вынес их общие поля и методы в BaseLessionView;can_be_merged;merged;hseappx/dstimkin/refactor_LessionViewModel;dev;!38;null;false;false;null;null;null;null;iOS Middle (left);0;0;1;null;iOS Middle (left),iOS Middle,;;true;Wed Jul 07 12:45:08 MSK 2021;iOS Middle (left);null;
Mon Jul 05 15:45:48 MSK 2021;305;iOS Middle;[IOS.HSEAppX] Added final to classes;;can_be_merged;merged;hseappx/dstimkin/added_finals;dev;!37;null;false;false;null;null;null;null;iOS Middle (left);0;0;1;null;iOS Middle (left),iOS Middle,;;true;Mon Jul 05 16:27:32 MSK 2021;iOS Middle (left);null;
Fri Jul 02 00:21:42 MSK 2021;304;iOS Middle;[IOS.HSEAppX] ViewModels rename;Я прошелся по всем файлам в которых есть наследование от CellViewModel, в некоторых местах нужно переименовать только файл (я пометил эти места [rename file]) в других нужно переименовать класс и файл (~>). Вот список что и как переименовываю.  - ListCollectionViewContainerCell ~> ListCollectionViewContainerViewModel - MenuOptionsCollectionCell ~> MenuOptionsCollectionViewModel  - MenuOptionCell ~> MenuOptionViewModel - OverflowCell ~> OverflowViewModel  - ExitViewModel [rename file] - LessonHeaderViewModel [rename file] - TeacherViewModel [rename file] - LogCell ~> LogViewModel - RoomHeaderViewModel [rename file] - FacilitiesViewModel [rename file] - LibraryUserCell ~> LibraryUserViewModel - LibraryNewsCell ~> LibraryNewsViewModel - LibraryBookCell ~> LibraryBookViewModel - PKAddPassButtonCell ~> PKAddPassButtonViewModel   Каждое переименование вынесено в отдельный коммит для удобства. Проект собирается);can_be_merged;merged;hseappx/dstimkin/view_models_rename;dev;!36;null;false;false;null;null;null;null;iOS Middle (left);1;0;1;null;iOS Middle (left),iOS Middle,;;true;Fri Jul 02 14:46:40 MSK 2021;iOS Middle (left);null;
Tue Apr 27 03:57:44 MSK 2021;244;Team Lead;WIP: Добавил авторизацию через несколько акков;Наговнокодил, лучше переписать вероятно.  Пока что в процессе еще;unchecked;merged;multylogin;dev;!35;null;false;false;null;null;null;null;;0;0;0;null;iOS Lead,Team Lead,iOS Middle (left),;;true;Wed Apr 28 03:04:02 MSK 2021;iOS Lead;null;
Sat Sep 05 14:39:05 MSK 2020;83;Team Lead;Хачу замержить AppClip;Там много говна по причине использования #if !APP_CLIP #endif  Если найдете способ, как это получше написать - я не против. Сделано в целях того, чтобы облегчить общий вес АппКлипа и не добавлять туда ненужные компоненты;can_be_merged;merged;AppClip;dev;!34;null;false;false;null;null;null;null;;0;0;0;null;Team Lead,;;true;Mon Sep 07 23:10:05 MSK 2020;Team Lead;null;
Fri Aug 28 20:57:13 MSK 2020;82;iOS Middle (left);Feature/auditorium;;can_be_merged;merged;feature/auditorium;dev;!33;null;false;false;null;null;null;null;;0;0;0;null;iOS Middle (left),;;true;Fri Aug 28 20:58:14 MSK 2020;iOS Middle (left);null;
Thu Aug 27 18:51:27 MSK 2020;80;iOS Middle (left);Feature/auditorium;;can_be_merged;merged;feature/auditorium;dev;!32;null;false;false;null;null;null;null;;0;0;0;null;iOS Middle (left),;;true;Thu Aug 27 18:57:27 MSK 2020;iOS Middle (left);null;
Tue Aug 25 19:48:46 MSK 2020;79;iOS Lead;Feature/search page;;can_be_merged;merged;feature/searchPage;dev;!31;null;false;false;null;null;null;null;;0;0;0;null;iOS Lead,;;true;Tue Aug 25 20:05:49 MSK 2020;iOS Lead;null;
Mon Aug 24 16:43:33 MSK 2020;78;iOS Lead;Feature/lesson;;can_be_merged;merged;feature/lesson;dev;!30;null;false;false;null;null;null;null;;0;0;0;null;iOS Lead,;;true;Mon Aug 24 16:44:29 MSK 2020;iOS Lead;null;
Mon Aug 24 15:58:17 MSK 2020;77;iOS Lead;Feature/profile;;can_be_merged;merged;feature/profile;dev;!29;null;false;false;null;null;null;null;;0;0;0;null;iOS Lead,;;true;Mon Aug 24 15:59:06 MSK 2020;iOS Lead;null;
Sat Aug 22 14:26:40 MSK 2020;75;iOS Lead;service refactoring + token refreshing;;can_be_merged;merged;feature/refreshToken;dev;!28;null;false;false;null;null;null;null;;0;0;1;null;Team Lead,iOS Lead,;;true;Sun Aug 23 03:30:27 MSK 2020;iOS Lead;null;
Fri Aug 21 14:46:37 MSK 2020;73;iOS Middle (left);colors;;can_be_merged;merged;feature/colors;dev;!27;null;false;false;null;null;null;null;;0;0;0;null;iOS Middle (left),;;true;Fri Aug 21 14:46:48 MSK 2020;iOS Middle (left);null;
Fri Aug 21 13:21:45 MSK 2020;72;Team Lead;Часы в дев хачу;;can_be_merged;merged;feature/watchOS;dev;!26;null;false;false;null;null;null;null;;0;0;0;null;Team Lead,;;true;Fri Aug 21 13:24:09 MSK 2020;Team Lead;null;
Fri Aug 21 11:19:20 MSK 2020;71;iOS Middle (left);Feature/date picker;Вчера вроде были ошибки, но сегодня посмотрел, вроде их нет Из нового там немного обновленный лоадер и загрузка расписания по выбранной дате в календаре;can_be_merged;merged;feature/datePicker;dev;!25;null;false;false;null;null;null;null;;0;0;0;null;Team Lead,iOS Middle (left),;;true;Fri Aug 21 13:11:42 MSK 2020;Team Lead;null;
Thu Aug 20 18:41:29 MSK 2020;70;iOS Middle (left);brand button;;can_be_merged;merged;feature/brandButton;dev;!24;null;false;false;null;null;null;null;;0;0;0;null;iOS Middle (left),;;true;Thu Aug 20 22:11:06 MSK 2020;iOS Middle (left);null;
Wed Aug 19 15:57:55 MSK 2020;69;iOS Lead;Feature/selection;;cannot_be_merged;closed;feature/selection;dev;!23;null;false;true;null;null;null;null;;0;0;0;null;iOS Lead,Team Lead,;;true;Fri Aug 21 13:34:04 MSK 2020;;Fri Aug 21 13:34:04 MSK 2020;Team Lead
